file,venue,venue_code,confidence
statbox-watermarked-1788518168281.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518174157.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518270455.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518278573.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518284135.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518291422.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518296205.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518302270.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518312798.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518318235.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518324229.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518332036.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518338406.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518343632.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518349117.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518356572.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518475528.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518480806.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518486158.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518528712.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518533961.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518546012.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518551408.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518557362.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518563639.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518570250.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518575705.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518581547.mp4,clipvenue_a_blue_barrier,ca,high
statbox-watermarked-1788518043376.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518049658.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518452957.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518463024.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518469145.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518680610.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518688922.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518694984.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518700749.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518706532.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518736613.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518742645.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518748061.mp4,clipvenue_b_floodlit_track,cb,high
statbox-watermarked-1788518491617.mp4,clipvenue_c_teal_boards,cc,high
statbox-watermarked-1788518496823.mp4,clipvenue_c_teal_boards,cc,high
statbox-watermarked-1788518502597.mp4,clipvenue_c_teal_boards,cc,high
statbox-watermarked-1788518508545.mp4,clipvenue_c_teal_boards,cc,high
statbox-watermarked-1788518513386.mp4,clipvenue_c_teal_boards,cc,high
statbox-watermarked-1788518518750.mp4,clipvenue_c_teal_boards,cc,high
statbox-watermarked-1788518082821.mp4,clipvenue_d_indoor_dome,cd,high
statbox-watermarked-1788518094123.mp4,clipvenue_d_indoor_dome,cd,high
statbox-watermarked-1788518102618.mp4,clipvenue_d_indoor_dome,cd,high
statbox-watermarked-1788518718116.mp4,clipvenue_e_pink_boards,ce,high
statbox-watermarked-1788518723558.mp4,clipvenue_e_pink_boards,ce,high
statbox-watermarked-1788518730311.mp4,clipvenue_e_pink_boards,ce,high
statbox-watermarked-1788517934401.mp4,clipvenue_f_outdoor_bldg,cf,high
statbox-watermarked-1788518024202.mp4,clipvenue_f_outdoor_bldg,cf,high
statbox-watermarked-1788518055948.mp4,clipvenue_g_netting,cg,high
statbox-watermarked-1788518136880.mp4,clipvenue_g_netting,cg,high
statbox-watermarked-1788518144607.mp4,clipvenue_g_netting,cg,high
statbox-watermarked-1788518149492.mp4,clipvenue_g_netting,cg,high
statbox-watermarked-1788518155619.mp4,clipvenue_g_netting,cg,high
statbox-watermarked-1788518036387.mp4,clipvenue_h_teal_pitch,ch,medium
statbox-watermarked-1788518070457.mp4,clipvenue_h_teal_pitch,ch,medium
statbox-watermarked-1788518162577.mp4,clipvenue_h_teal_pitch,ch,medium
statbox-watermarked-1788517881838.mp4,clipvenue_i_outdoor_trees,ci,high
statbox-watermarked-1788517913957.mp4,clipvenue_i_outdoor_trees,ci,high
statbox-watermarked-1788518712737.mp4,clipvenue_i_outdoor_trees,ci,high
