file,venue,class4,lighting,camera,people_inside,people_on_pitch,ball_visible,confidence,counter,date,note
1_empty/slot_20260711_1000_camA_t002592.jpg,venue_01,1_empty,day,camera_A,0,0,no,sure,claude-first-pass,2026-09-19,camA derived boundary covers only the near half of the pitch
1_empty/slot_20260711_1000_camB_t002173.jpg,venue_01,1_empty,day,camera_B,0,0,no,sure,claude-first-pass,2026-09-19,camB hull includes the car park behind the goal with parked cars
1_empty/slot_20260712_2030_camB_t002413.jpg,venue_01,1_empty,night,camera_A,0,0,no,sure,claude-first-pass,2026-09-19,3-4 figures at the top edge are beyond the blue perimeter wall (neighbouring pitch)
1_empty/slot_20260711_1000_camB_t000359.jpg,venue_01,1_empty,day,camera_B,0,0,yes,sure,claude-first-pass,2026-09-19,ball lying on the pitch at left; cars in the hull
1_empty/slot_20260711_1000_camA_t001033.jpg,venue_01,1_empty,day,camera_A,0,0,no,sure,claude-first-pass,2026-09-19,
1_empty/slot_20260712_2030_camA_t002861.jpg,venue_01,1_empty,night,camera_B,0,0,no,unsure,claude-first-pass,2026-09-19,one person at the dugout edge outside the boundary; translucent smear at centre pitch
1_empty/slot_20260712_2030_camB_t002398.jpg,venue_01,1_empty,night,camera_A,0,0,no,sure,claude-first-pass,2026-09-19,figures beyond the perimeter wall at top; boundary excludes the far third of this pitch
1_empty/slot_20260711_1000_camB_t001859.jpg,venue_01,1_empty,day,camera_B,0,0,no,sure,claude-first-pass,2026-09-19,cars in the hull
1_empty/slot_20260711_1000_camA_t001108.jpg,venue_01,1_empty,day,camera_A,0,0,no,sure,claude-first-pass,2026-09-19,
1_empty/slot_20260711_1000_camB_t002383.jpg,venue_01,1_empty,day,camera_B,1,0,no,unsure,claude-first-pass,2026-09-19,one small figure in the car park near the cars is inside the hull but not on the pitch
1_empty/slot_20260712_2030_camB_t002368.jpg,venue_01,1_empty,night,camera_A,0,0,no,sure,claude-first-pass,2026-09-19,figures beyond the perimeter wall at top
