file,class3,detected,inside
1_empty/slot_20260711_1000_camB_t000000.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000004_m.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000014.jpg,C1_EMPTY,2,2
1_empty/slot_20260711_1000_camB_t000021_m.jpg,C1_EMPTY,2,1
1_empty/slot_20260711_1000_camB_t000029.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000034_m.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000044.jpg,C1_EMPTY,1,0
1_empty/slot_20260711_1000_camB_t000059.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000074.jpg,C1_EMPTY,2,2
1_empty/slot_20260711_1000_camB_t000089.jpg,C1_EMPTY,2,1
1_empty/slot_20260711_1000_camB_t000104.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000119.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000127_m.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000134.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000149.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000164.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000179.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000194.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000209.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000224.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000239.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000254.jpg,C1_EMPTY,1,1
1_empty/slot_20260711_1000_camB_t000269.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000284.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000299.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000314.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000329.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000344.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000359.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000374.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000389.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000396_m.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000404.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000419.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000434.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000449.jpg,C1_EMPTY,1,1
1_empty/slot_20260711_1000_camB_t000464.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000479.jpg,C1_EMPTY,1,1
1_empty/slot_20260711_1000_camB_t000494.jpg,C1_EMPTY,2,2
1_empty/slot_20260711_1000_camB_t000509.jpg,C1_EMPTY,3,3
1_empty/slot_20260711_1000_camB_t000524.jpg,C1_EMPTY,3,3
1_empty/slot_20260711_1000_camB_t000539.jpg,C1_EMPTY,2,2
1_empty/slot_20260711_1000_camB_t000554.jpg,C1_EMPTY,2,2
1_empty/slot_20260711_1000_camB_t000569.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000584.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000599.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000614.jpg,C1_EMPTY,2,2
1_empty/slot_20260711_1000_camB_t000629.jpg,C1_EMPTY,3,3
1_empty/slot_20260711_1000_camB_t000644.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000659.jpg,C1_EMPTY,3,3
1_empty/slot_20260711_1000_camB_t000674.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000689.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000704.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000719.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000734.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000749.jpg,C1_EMPTY,1,1
1_empty/slot_20260711_1000_camB_t000764.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000779.jpg,C1_EMPTY,1,1
1_empty/slot_20260711_1000_camB_t000794.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000809.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000824.jpg,C1_EMPTY,0,0
1_empty/slot_20260711_1000_camB_t000839.jpg,C1_EMPTY,1,1
1_empty/slot_20260711_1000_camB_t000854.jpg,C1_EMPTY,0,0
