file,venue,class3,detected,current,flat-field,grown,contour
1_empty/slot_20260711_1000_camB_t000000.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000004_m.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000014.jpg,venue_01,C1_EMPTY,2,2,2,2,0
1_empty/slot_20260711_1000_camB_t000021_m.jpg,venue_01,C1_EMPTY,2,1,2,2,0
1_empty/slot_20260711_1000_camB_t000029.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000034_m.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000044.jpg,venue_01,C1_EMPTY,1,0,1,1,0
1_empty/slot_20260711_1000_camB_t000059.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000074.jpg,venue_01,C1_EMPTY,2,2,2,2,0
1_empty/slot_20260711_1000_camB_t000089.jpg,venue_01,C1_EMPTY,2,1,2,2,0
1_empty/slot_20260711_1000_camB_t000104.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000119.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000127_m.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000134.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000149.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000164.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000179.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000194.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000209.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000224.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000239.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000254.jpg,venue_01,C1_EMPTY,1,1,1,1,1
1_empty/slot_20260711_1000_camB_t000269.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000284.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000299.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000314.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000329.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000344.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000359.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000374.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000389.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000396_m.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000404.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000419.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000434.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000449.jpg,venue_01,C1_EMPTY,1,1,1,1,1
1_empty/slot_20260711_1000_camB_t000464.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000479.jpg,venue_01,C1_EMPTY,1,1,1,1,1
1_empty/slot_20260711_1000_camB_t000494.jpg,venue_01,C1_EMPTY,2,2,2,2,2
1_empty/slot_20260711_1000_camB_t000509.jpg,venue_01,C1_EMPTY,3,3,3,3,3
1_empty/slot_20260711_1000_camB_t000524.jpg,venue_01,C1_EMPTY,3,3,3,3,3
1_empty/slot_20260711_1000_camB_t000539.jpg,venue_01,C1_EMPTY,2,2,2,2,2
1_empty/slot_20260711_1000_camB_t000554.jpg,venue_01,C1_EMPTY,2,2,2,2,2
1_empty/slot_20260711_1000_camB_t000569.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000584.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000599.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000614.jpg,venue_01,C1_EMPTY,2,2,2,2,2
1_empty/slot_20260711_1000_camB_t000629.jpg,venue_01,C1_EMPTY,3,3,3,3,3
1_empty/slot_20260711_1000_camB_t000644.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000659.jpg,venue_01,C1_EMPTY,3,3,3,3,0
1_empty/slot_20260711_1000_camB_t000674.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000689.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000704.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000719.jpg,venue_01,C1_EMPTY,0,0,0,0,0
1_empty/slot_20260711_1000_camB_t000734.jpg,venue_01,C1_EMPTY,0,0,0,0,0
